DATE,TIME,DATETIME,TANK_NUM,TREATMENT,TEMPINSITU,TEMPINLAB,SALINITY,FLOW_LEFT,FLOW_RIGHT,residence_time,flowrate,TA,pH,DIC_umol_kg,DOC,pH_inflow,TA_inflow,DIC_inflow,DOC_inflow,deltapH,deltaTA,deltaDIC,deltaDOC,NEC,NEP,Notes
2024-06-02,12:00:00,2024-06-02T12:00:00Z,2,Rubble_Dom,29.4,28.457,36.5,131,10,1.1820330969267139,2.35,2215.542,8.131556175314378,1816.9993198633392,159.4106366,8.024367772171592,2355.042,2015.7582612525775,146.0891816,0.10718840314278566,139.5,198.75894138923832,13.321455000000014,1.1947400000000001,2.209779822729442,Flow read as 0
2024-06-02,15:00:00,2024-06-02T15:00:00Z,2,Rubble_Dom,29.1,28.17,36.4,NA,NA,NA,NA,NA,8.07003863184643,NA,NA,8.043323656191033,NA,NA,NA,0.0267149756553966,NA,NA,NA,NA,NA,NA
2024-06-02,18:00:00,2024-06-02T18:00:00Z,2,Rubble_Dom,28.9,27.99,36.4,20,74,1.7730496453900708,1.5666666666666667,2336.88,7.994039380686945,2020.2330768745664,105.8556121,8.047156502599965,2326.905,1980.529556826587,103.9406529,-0.05311712191301954,-9.974999999999909,-39.70352004797951,1.9149591999999984,-0.05695355555555504,-0.3964312333775207,NA
2024-06-02,21:00:00,2024-06-02T21:00:00Z,2,Rubble_Dom,28.6,26.07,36.4,NA,NA,NA,NA,NA,7.949307331381025,NA,NA,8.053264358408311,NA,NA,NA,-0.10395702702728649,NA,NA,NA,NA,NA,NA
2024-06-03,00:00:00,2024-06-03T00:00:00Z,2,Rubble_Dom,28.2,25.77,36.4,15,28,3.875968992248062,0.7166666666666667,2346.444,7.92591858521996,2075.4400518275625,355.0500803,8.051498166863787,2363.69,2014.5227143064,322.0794791,-0.12557958164382743,17.246000000000095,-60.91733752116238,32.970601199999976,0.045043997037037285,-0.3632581186661018,NA
2024-06-03,06:00:00,2024-06-03T06:00:00Z,2,Rubble_Dom,28.1,25.934,36.4,26,0,6.410256410256411,0.43333333333333335,2341.554,7.914517313377639,2078.181535598644,79.3792202,8.026027760005318,2343.007,2013.2579869185145,NA,-0.11151044662767884,1.4529999999999745,-64.92354868012967,NA,0.0022946637037036637,-0.20735689449783173,NA
2024-06-03,09:00:00,2024-06-03T09:00:00Z,2,Rubble_Dom,29.2,26.836,36.4,NA,NA,NA,NA,NA,7.9358906117389045,NA,NA,8.038157393089975,NA,NA,NA,-0.10226678135107026,NA,NA,NA,NA,NA,NA
2024-06-03,12:00:00,2024-06-03T12:00:00Z,2,Rubble_Dom,29.3,25.61,36.4,NA,NA,NA,NA,NA,8.09168935518154,NA,NA,8.042546836653036,NA,NA,NA,0.04914251852850349,NA,NA,NA,NA,NA,NA
2024-06-04,12:00:00,2024-06-04T12:00:00Z,2,Rubble_Dom,29.9,28.84,36.4,NA,NA,NA,NA,NA,8.071351595907974,NA,100.8309258,7.980346003757236,NA,NA,92.17197998,0.09100559215073734,NA,NA,8.65894582,NA,NA,NA
2024-06-05,12:00:00,2024-06-05T12:00:00Z,2,Rubble_Dom,29.4,27.236,36.4,NA,NA,NA,NA,NA,8.0578173607848,NA,NA,7.971666824235446,NA,NA,NA,0.08615053654935334,NA,NA,NA,NA,NA,NA
2024-06-05,21:00:00,2024-06-05T21:00:00Z,2,Rubble_Dom,28.8,27.606,36.3,NA,NA,NA,NA,NA,7.924001327320819,NA,NA,8.008567191803229,NA,NA,NA,-0.08456586448240966,NA,NA,NA,NA,NA,NA
2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,Rubble_Dom,30.1,28.461,36.4,80,14,1.7730496453900708,1.5666666666666667,2345.467,8.023901554491895,1997.6391041602908,149.79,7.999947225554922,2301.299,1982.5978343942352,164.5241326,0.02395432893697258,-44.16800000000012,-15.04126976605562,-14.73413260000001,-0.25218292148148214,0.08042276243443516,NA
2024-06-06,21:00:00,2024-06-06T21:00:00Z,2,Rubble_Dom,28.8,27.977,36.4,10,70,2.0833333333333335,1.3333333333333333,2334.695,8.015577469033195,2005.7634452943666,114.5034566,8.081450291612063,2354.9,1982.8173954830716,NA,-0.06587282257886784,20.204999999999927,-22.946049811295097,NA,0.09818133333333297,-0.3211829433512527,NA
2024-06-07,12:00:00,2024-06-07T12:00:00Z,2,Rubble_Dom,29.3,28.167,36.4,NA,NA,NA,NA,NA,8.045260740051006,NA,NA,8.019476284138372,NA,NA,NA,0.025784455912633675,NA,NA,NA,NA,NA,NA
2024-06-07,21:00:00,2024-06-07T21:00:00Z,2,Rubble_Dom,28.5,27.319,36.4,NA,NA,NA,NA,NA,8.028271763466055,NA,NA,8.018528283776055,NA,NA,NA,0.009743479690000001,NA,NA,NA,NA,NA,NA
2024-06-08,12:00:00,2024-06-08T12:00:00Z,2,Rubble_Dom,29.3,27.446,36.4,NA,NA,NA,NA,NA,7.984692291462979,NA,NA,8.004218107348636,NA,NA,NA,-0.019525815885657494,NA,NA,NA,NA,NA,NA
2024-06-08,21:00:00,2024-06-08T21:00:00Z,2,Rubble_Dom,28.6,26.835,36.4,NA,NA,NA,NA,NA,8.040419373062319,NA,NA,8.017957561288961,NA,NA,NA,0.02246181177335771,NA,NA,NA,NA,NA,NA
2024-06-09,12:00:00,2024-06-09T12:00:00Z,2,Rubble_Dom,29.3,27.785,36.4,NA,NA,NA,NA,NA,8.000729204186854,NA,NA,7.968142993110272,NA,NA,NA,0.03258621107658222,NA,NA,NA,NA,NA,NA
2024-06-09,21:00:00,2024-06-09T21:00:00Z,2,Rubble_Dom,28.6,26.576,36.4,NA,NA,NA,NA,NA,7.940801117247807,NA,NA,7.9951304506635426,NA,NA,NA,-0.05432933341573598,NA,NA,NA,NA,NA,NA
2024-06-10,12:00:00,2024-06-10T12:00:00Z,2,Rubble_Dom,29.3,27.087,36.4,NA,NA,NA,NA,NA,8.079013712318345,NA,NA,8.005325806335957,NA,NA,NA,0.07368790598238739,NA,NA,NA,NA,NA,NA
2024-06-10,21:00:00,2024-06-10T21:00:00Z,2,Rubble_Dom,28.5,25.643,36.4,NA,NA,NA,NA,NA,7.90927300211625,NA,NA,8.003845969614433,NA,NA,NA,-0.09457296749818322,NA,NA,NA,NA,NA,NA
