CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,endo_per_cm2,chla_ug_cm2,mean_tissue_biomass,GP,R,pH_mean,DOC_mean
78,L,Control,15,0.5751443177795292,1.7279470185711023,10.655946214875785,NA,0.7746856972760578,8.04040327024681,148.14463757444446
80,S,Rubble_Dom,10,0.5492221630270511,2.0200318138354905,13.944367713956948,5.545389235,1.1580597823963554,8.056944066354125,118.073467815
85,E,Control,11,0.4746075293504334,2.146078686028442,3.936146313275572,2.995562665626947,0.9697030737736532,8.044242640025107,141.673604927
86,E,Algae_Dom,14,0.1804604592623976,0.8298171450150998,4.06688372407545,3.357836216920793,1.4606178059247987,8.051934858764644,124.460064781
90,G,Rubble_Dom,12,0.7574009119469135,4.2996925886337705,14.22007841349782,4.037628822564667,1.541026370042373,8.05987093476518,129.195564507
92,G,Algae_Dom,1,0.7371023406230943,3.3185407633530923,5.224303657943392,3.965215106332312,1.0578721137535017,8.039743713602704,162.42704423
95,L,Coral_Dom,16,0.10963215949134358,0.7376570828602645,3.2516815294400203,2.6226660182682946,0.6988188936575584,8.032965104067214,116.58651436638888
96,N,Rubble_Dom,10,0.33706341278059787,2.3700051618750777,3.7088580542358054,2.372543438498496,0.8992230069017945,8.056944066354125,118.073467815
97,V,Algae_Dom,13,0.22973986729206755,1.0329235994790151,7.211249853754991,1.6570820951011016,0.8065940335945473,8.05405603436128,114.140655155
100,U,Algae_Dom,14,0.38294035401158744,2.4697409526609007,7.042941015846094,3.845138177697647,1.5089229203351966,8.051934858764644,124.460064781
101,U,Coral_Dom,7,0.5077428420047742,2.689657299274026,NA,2.5749039808045038,0.7503897972304606,8.040484016124932,120.077097918
102,I,Control,15,0.3674532327077202,2.007022901194953,2.838935203126701,3.1206367055029176,0.7566490261058428,8.04040327024681,148.14463757444446
104,G,Control,8,0.36061608507240145,1.9144492690746415,4.87593916872399,2.297318003522599,0.8436494615972104,8.043899387464494,160.66979863
