TANK_NUM,DATE,TIME,TREATMENT,NPOC_uM,DATETIME
14,20240611,21:00:00,Algae_Dom,91.30261628,2024-06-11T21:00:00Z
15,20240611,21:00:00,Control,235.2575898,2024-06-11T21:00:00Z
16,20240611,21:00:00,Coral_Dom,109.7861351,2024-06-11T21:00:00Z
Inflow1,20240616,12:00:00,Inflow,106.7055487,2024-06-16T12:00:00Z
Inflow2,20240616,12:00:00,Inflow,89.6374344,2024-06-16T12:00:00Z
7,20240616,12:00:00,Coral_Dom,89.13787983,2024-06-16T12:00:00Z
8,20240616,12:00:00,Control,199.7059566,2024-06-16T12:00:00Z
9,20240616,12:00:00,Coral_Dom,96.63119829,2024-06-16T12:00:00Z
10,20240616,12:00:00,Rubble_Dom,83.30974326,2024-06-16T12:00:00Z
11,20240616,12:00:00,Control,151.8319776,2024-06-16T12:00:00Z
12,20240616,12:00:00,Rubble_Dom,142.3404409,2024-06-16T12:00:00Z
13,20240616,12:00:00,Algae_Dom,92.71802088,2024-06-16T12:00:00Z
14,20240616,12:00:00,Algae_Dom,99.87830296,2024-06-16T12:00:00Z
15,20240616,12:00:00,Control,90.47002534,2024-06-16T12:00:00Z
16,20240616,12:00:00,Coral_Dom,148.1685775,2024-06-16T12:00:00Z
Inflow1,20240616,21:00:00,Inflow,78.26424216,2024-06-16T21:00:00Z
Inflow2,20240616,21:00:00,Inflow,76.83218575,2024-06-16T21:00:00Z
1,20240616,21:00:00,Algae_Dom,119.1944128,2024-06-16T21:00:00Z
2,20240616,21:00:00,Rubble_Dom,180.3898468,2024-06-16T21:00:00Z
3,20240616,21:00:00,Control,157.9931506,2024-06-16T21:00:00Z
4,20240616,21:00:00,Algae_Dom,119.3609309,2024-06-16T21:00:00Z
5,20240616,21:00:00,Rubble_Dom,74.06798383,2024-06-16T21:00:00Z
6,20240616,21:00:00,Coral_Dom,81.14500681,2024-06-16T21:00:00Z
7,20240616,21:00:00,Coral_Dom,77.84794669,2024-06-16T21:00:00Z
8,20240616,21:00:00,Control,73.56842926,2024-06-16T21:00:00Z
9,20240616,21:00:00,Coral_Dom,114.8649399,2024-06-16T21:00:00Z
10,20240616,21:00:00,Rubble_Dom,94.29994366,2024-06-16T21:00:00Z
11,20240616,21:00:00,Control,70.65436097,2024-06-16T21:00:00Z
12,20240616,21:00:00,Rubble_Dom,77.92287988,2024-06-16T21:00:00Z
13,20240616,21:00:00,Algae_Dom,76.80720802,2024-06-16T21:00:00Z
14,20240616,21:00:00,Algae_Dom,82.56041141,2024-06-16T21:00:00Z
15,20240611,21:00:00,Control,79.81286131,2024-06-11T21:00:00Z
16,20240611,21:00:00,Coral_Dom,74.53423475,2024-06-11T21:00:00Z
Inflow1,20240620,21:00:00,Inflow,122.7745538,2024-06-20T21:00:00Z
Inflow2,20240620,21:00:00,Inflow,146.5033956,2024-06-20T21:00:00Z
1,20240620,21:00:00,Algae_Dom,147.8355411,2024-06-20T21:00:00Z
2,20240620,21:00:00,Rubble_Dom,196.458852,2024-06-20T21:00:00Z
3,20240620,21:00:00,Control,96.38142101,2024-06-20T21:00:00Z
4,20240620,21:00:00,Algae_Dom,168.0675009,2024-06-20T21:00:00Z
5,20240620,21:00:00,Rubble_Dom,75.52501797,2024-06-20T21:00:00Z
6,20240620,21:00:00,Coral_Dom,78.86370764,2024-06-20T21:00:00Z
7,20240620,21:00:00,Coral_Dom,85.23094685,2024-06-20T21:00:00Z
